Date,Particulars,Voucher No.,Voucher Ref. No.,Narration,Quantity,Rate,Value,Gross Total,GST Sales,Output IGST @ 18%,Round Off,Output CGST @ 9%,Output SGST @ 9%,Output IGST @ 12%,Output CGST @ 6%,Output SGST @ 6%,Shipping Interstate GST @ 12%,Shipping Interstate GST @ 12,Output CGST @ 2.5%,Output SGST @ 2.5%,Output IGST @ 5%,Shipping Interstate GST @ 18%,Local GST Sales @ 5%,Local GST Sales @ 18%,Shipping Local GST @ 18%,Interstate GST Sales @ 5%,Interstate GST Sales @ 12%,Interstate GST Sales @ 18%,Interstate GST Sales @ 5%,Interstate GST Sales @ 12%,Interstate GST Sales @ 18%
,Reebok Prodigy Shoe (Size 10 US) - Black,,,,2 Pr,1350.00/Pr,2700.00,,,,,,,,,,,,,,,,,,,,,,,,
06-Aug-25,Walk-King Shoe Company,PSB25-26/INV-915,PSB25-26/INV-915,Being Sale of Goods - Accounted,150 Pr,,183885.00,216984.00 Dr,183885.00 Cr,33099.30 Cr,0.30 Dr,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 01 Y) - Black,,,,5 Pr,1107.00/Pr,5535.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 08 US) - Black,,,,15 Pr,1230.00/Pr,18450.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 US) - Black,,,,10 Pr,1230.00/Pr,12300.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 US) - Black,,,,15 Pr,1230.00/Pr,18450.00,,,,,,,,,,,,,,,,,,,,,,155058.00 Cr,589.00 Cr,65081.00 Cr
,Reebok Prodigy Shoe (Size 11 US) - Black,,,,15 Pr,1230.00/Pr,18450.00,,,,,,,,,,,,,,,,,,,,,,155058.00 Cr,589.00 Cr,65081.00 Cr
,Reebok Prodigy Shoe (Size 12 US) - Black,,,,40 Pr,1230.00/Pr,49200.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 US) - Black,,,,50 Pr,1230.00/Pr,61500.00,,,,,,,,,,,,,,,,,,,,,,,,
06-Aug-25,Walk-King Shoe Company,PSB25-26/INV-916,PSB25-26/INV-916,Being Sale of Goods - Accounted,5 Pr,,7380.00,8708.00 Dr,7380.00 Cr,1328.40 Cr,0.40 Dr,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 08 US) - Black,,,,2 Pr,1476.00/Pr,2952.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 09 US) - Black,,,,2 Pr,1476.00/Pr,2952.00,,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 11 US) - Black,,,,1 Pr,1476.00/Pr,1476.00,,,,,,,,,,,,,,,,,,,,,,,,
06-Aug-25,ETERNAL TRADING CO,PSB25-26/INV-917,PSB25-26/INV-917,Being Sale of Goods - Accounted,47 Pr,,35625.00,39900.00 Dr,35625.00 Cr,,,,,4275.00 Cr,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 C) - Black,,,,3 Pr,675.00/Pr,2025.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 C) - Black,,,,8 Pr,675.00/Pr,5400.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,7 Pr,675.00/Pr,4725.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,8 Pr,675.00/Pr,5400.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,4 Pr,831.00/Pr,3324.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - Black,,,,5 Pr,831.00/Pr,4155.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,5 Pr,883.00/Pr,4415.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,1 Pr,883.00/Pr,883.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 UK) - Black,,,,2 Pr,883.00/Pr,1766.00,,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 UK) - Black,,,,4 Pr,883.00/Pr,3532.00,,,,,,,,,,,,,,,,,,,,,,,,
07-Aug-25,Gubbacci Apparel Pvt Ltd,PSB25-26/INV-918,PSB25-26/INV-918,Being Sale of Goods - Accounted,208 Pr,,141033.42,157957.00 Dr,141033.42 Cr,,0.46 Dr,,,,8462.02 Cr,8462.02 Cr,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 10 K) - Black,,,,15 Pr,654.46/Pr,9816.90,,,,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 11 K) - Black,,,,2 Pr,654.46/Pr,1308.92,,,,,,,,,,,,,,,,,,,,,,,,
