Date,Particulars,Voucher No.,Voucher Ref. No.,Narration,Quantity,Rate,Value,Gross Total,GST Sales,Output IGST @ 5%,Round Off,Output CGST @ 2.5%,Output SGST @ 2.5%,Shipping Local GST @ 18%,Output CGST @ 9%,Output SGST @ 9%
,Plaeto Nova School Shoes (Size 13 C) - Grey / Blue,,,,222 Pr,989.00/Pr,219558.00,,,,,,,,,
22-Oct-25,Meru International School,PSB2526/INV-1164,PSB2526/INV-1164,Being Sale of Goods - Accounted,101 Pcs,,62524.05,65650.00 Dr,62524.05 Cr,3126.20 Cr,0.25 Dr,,,,,
,Hoodies,,,,101 Pcs,619.05/Pcs,62524.05,,,,,,,,,
23-Oct-25,SAI ANUGRAHA TRADERS,PSB2526/INV-1165,PSB2526/INV-1165,Being Sale of Goods - Accounted,2 Pr,,2025.00,2126.00 Dr,2025.00 Cr,101.25 Cr,0.25 Dr,,,,,
,Plaeto Nova School Shoes (Size 08C) - Black,,,,1 Pr,900.00/Pr,900.00,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,1 Pr,1125.00/Pr,1125.00,,,,,,,,,
23-Oct-25,SAI ANUGRAHA TRADERS,PSB2526/INV-1166,PSB2526/INV-1166,Being Sale of Goods - Accounted,11 Pr,,11205.00,11765.00 Dr,11205.00 Cr,560.25 Cr,0.25 Dr,,,,,
,Plaeto Nova School Shoes (Size 08 C) - White,,,,1 Pr,900.00/Pr,900.00,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 C) - White,,,,1 Pr,900.00/Pr,900.00,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 C) - White,,,,2 Pr,900.00/Pr,1800.00,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - White,,,,1 Pr,900.00/Pr,900.00,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - White,,,,1 Pr,900.00/Pr,900.00,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - White,,,,2 Pr,1125.00/Pr,2250.00,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - White,,,,1 Pr,1125.00/Pr,1125.00,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - White,,,,1 Pr,1215.00/Pr,1215.00,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - White,,,,1 Pr,1215.00/Pr,1215.00,,,,,,,,,
23-Oct-25,SAI ANUGRAHA TRADERS,PSB2526/INV-1167,PSB2526/INV-1167,Being Sale of Goods - Accounted,4 Pr,,3600.00,3780.00 Dr,3600.00 Cr,180.00 Cr,,,,,,
,Plaeto Nova School Shoes (Size 9 C) - Black,,,,3 Pr,900.00/Pr,2700.00,,,,,,,,,
